date,precip,swvl1,swvl2,skt,t2m,transp,evap,lai
2013-05-26,1.7285345847994904E-6,0.13658388174063865,0.1498863884407126,308.4011400366785,306.1547392094264,-1.2685968834786279E-4,-4.4195896993249153E-4,0.8928702285366911
2013-05-27,8.404254572269565E-7,0.13656741800097608,0.14985305539264884,308.83846645325843,306.5022706431981,-1.2912587743418977E-4,-4.477196664352814E-4,0.8928702285366911
2013-05-28,2.1338462374842493E-6,0.13655621294002995,0.1498189856593402,308.33502770645777,306.3865225575922,-1.5517014677195778E-4,-4.745719951501429E-4,0.8928702285366911
2013-05-29,7.848159133659248E-6,0.13657068508248119,0.1497841302590549,309.03296433905786,306.87501141372314,-1.6068783983335657E-4,-5.067772244911165E-4,0.8928702285366911
2013-05-30,1.7195939108205494E-6,0.13656913921902838,0.1497496618144501,309.0795612217649,307.2724337114942,-1.6189922789579549E-4,-5.228142950035207E-4,0.8928702285366911
2013-05-31,1.7231189985977835E-6,0.13654531842326284,0.14971646493560054,309.63211478364116,308.021387836905,-1.4944672469732758E-4,-4.961718625757837E-4,0.8928702285366911
2013-06-01,1.7046928064701206E-6,0.1365307767267526,0.1496829134290134,310.0723892578298,308.1931347584933,-1.2615829051826693E-4,-4.5622033404275333E-4,0.8928702285366911
2013-06-02,1.5469141018381895E-5,0.13658307648096932,0.14964995460137992,309.6829707151079,308.0061788632433,-1.441163465793952E-4,-4.539430566212429E-4,0.8928702285366911
2013-06-03,0.0,0.13656826636456929,0.1496169448327455,310.04257453424725,308.21476172617173,-1.2937782817335085E-4,-4.749901345909469E-4,0.8928702285366911
2013-06-04,0.0,0.13651691097813995,0.14958206983976752,311.59612993907484,309.26797659922454,-1.6522301914879278E-4,-5.524849895106626E-4,0.8928702285366911
2013-06-05,1.1396453393685308E-5,0.13652958842994128,0.14954760139516274,311.428278356316,309.14202826685585,-1.748712053192415E-4,-5.27943477310091E-4,0.8928702285366911
2013-06-06,1.1558731551197781E-4,0.13702798146863565,0.1495140988703073,310.8629420505283,308.61036794884853,-1.3030660216723826E-4,-4.983448490890773E-4,0.8928702285366911
2013-06-07,4.274692800213598E-4,0.13921654499917993,0.14948369982797302,310.40224604026196,307.8674046174036,-1.0139888184050381E-4,-5.958204477658073E-4,0.8928702285366911
2013-06-08,4.906374755990673E-4,0.14135656175579117,0.1494615933928174,310.54032775298964,307.5785293608491,-1.0916792022750264E-4,-7.174429706138528E-4,0.8928702285366911
2013-06-09,0.006174427060536506,0.17122378983617625,0.14951165566152957,307.9964157235763,305.4007984047739,-8.480101737706064E-5,-9.543567692117625E-4,0.8928702285366911
2013-06-10,9.482081938537035E-4,0.21057273892175862,0.15024915106430015,307.02068377349343,304.51345008963733,-1.3347948759289113E-4,-0.0019724549889243072,0.8928702285366911
2013-06-11,0.0034969485320368978,0.2198317409725023,0.15119293988761254,303.25025988041466,301.50373675655453,-1.575272725478894E-4,-0.001490488757475499,0.8928702285366911
2013-06-12,0.006913171527198356,0.26471285239573805,0.15373323143722462,303.54139513349804,301.1593295735583,-1.0677421743908355E-4,-0.001891182154382598,0.8928702285366911
2013-06-13,6.155787427992884E-4,0.2712606960036048,0.16016331022680874,305.64063024006566,303.38746459384913,-1.1190433393825188E-4,-0.002403390527816234,0.8928702285366911
2013-06-14,2.0596715628825273E-4,0.23825288369953176,0.16241780708677414,306.92257300828993,304.71111704057836,-9.881402401738615E-5,-0.002413107759573243,0.8928702285366911
2013-06-15,3.625167812147567E-4,0.2142452206682657,0.16250444303492,306.325248527233,303.7550814922002,-1.1688068176179161E-4,-0.0021763470236252198,0.8928702285366911
2013-06-16,0.0013246726162129843,0.20514551210721826,0.16237146351113343,304.514898337397,302.4163336222394,-9.731415986371886E-5,-0.001947695535761182,0.8984119197804316
2013-06-17,0.02419904466057915,0.2898311957862356,0.16867520078121237,303.68008146790527,301.1037802497852,-8.58527690011474E-5,-0.0017493534574890726,0.9041509329507336
2013-06-18,0.00520409701968432,0.36298367030570367,0.2239805974896651,300.0240970850603,299.46941078903126,-1.0020324590117979E-4,-0.0019621930970524786,0.9098536212687989
2013-06-19,2.5540013985567725E-4,0.31599137767131474,0.23793213564613624,303.60036266603163,302.55596061651687,-1.0415165898933985E-4,-0.0033276324233582648,0.9155892409847282
2013-06-20,1.8911570068057461E-6,0.2771065442085756,0.2361125740321649,304.2921518258211,303.60767714623375,-1.111052376440567E-4,-0.003391776340102378,0.9213045469968822
2013-06-21,4.351138045421976E-7,0.24706344232231028,0.23059917071812205,304.3189819426064,303.45616396868235,-8.725364891975798E-5,-0.003383113120112838,0.9270407153082065
2013-06-22,1.7198377122440434E-6,0.22389648801924086,0.22443312599405485,304.48489800146075,303.3353286267062,-7.354705027650428E-5,-0.002929887408605893,0.9327778319058567
2013-06-23,8.523463748133508E-7,0.20544286354664482,0.2183546968527678,304.75796821880294,303.3883045815662,-9.599240361863549E-5,-0.002665844131749014,0.9385975042734013
2013-06-24,1.041901637860147E-4,0.19035373838607877,0.2122054989055052,305.9486700194153,304.32293330282204,-1.0707924064989268E-4,-0.002625810367002142,0.9443382102523515
2013-06-25,0.004621061472517253,0.20029393035935694,0.20657943271035467,305.07098096544826,303.4381218622695,-9.759371879242235E-5,-0.0027008661325843017,0.9500753268500015
2013-06-26,0.001098861941382573,0.22341723214312587,0.2027976178608617,304.9758301378827,303.8685013154377,-1.1833340578205965E-4,-0.002694005822513155,0.9557906328621558
2013-06-27,4.142385050769213E-6,0.209563343966993,0.19917778265923186,304.9297101687455,303.56461550335916,-1.1012401540859823E-4,-0.0024020104813970663,0.9615268011734802
2013-06-28,6.950342416395944E-5,0.1945467920993987,0.1957826413554783,304.4532573457002,303.25393603089293,-9.715680509392397E-5,-0.0018332551372666572,0.9672294894915455
2013-06-29,5.927465994839095E-6,0.18294075592150735,0.19262494487399986,304.537015434896,303.0189939311792,-9.516834099138462E-5,-0.0016564833034742597,0.9729651092074748
2013-06-30,1.53599176630604E-4,0.17357092486569134,0.18922369554830198,305.3590967151895,303.58066995363083,-1.1760068451770467E-4,-0.00177729621139256,0.9787458469761171
2013-07-01,4.5800063926798145E-4,0.16636917905802598,0.18569364288126314,305.90769933025604,304.0979146443089,-1.2812621529875625E-4,-0.0017801226505605025,0.9844848601464192
2013-07-02,0.017060815323552858,0.23545246290805466,0.184005843105228,304.9483669116428,302.91066203046347,-7.642842886627914E-5,-0.0017599955155228613,0.9902001661585734
2013-07-03,9.861693359198224E-4,0.3231010074546904,0.20172675475133772,302.847707424154,302.2670220305017,-1.0642219329100728E-4,-0.002573076483487899,0.9959363344698976
2013-07-04,0.008047684884667021,0.3226667785252677,0.2099602860429683,302.89902313048253,301.2269214616412,-1.232860027274292E-4,-0.0026606782030985797,1.0016734510675478
2013-07-05,8.175829847297834E-4,0.3194068434548244,0.22264823364978825,301.8610125268859,301.051261334647,-1.7707417496639334E-4,-0.0021889340275976065,1.007410567665198
2013-07-06,0.003355579824380811,0.2987314850229696,0.22688448337266923,301.79765515653185,301.1322567111477,-1.4548621876581426E-4,-0.002404112730445039,1.0131476842628484
2013-07-07,0.009370019591088456,0.35012087848900403,0.23811168895970267,300.8602745338287,300.7879865006661,-8.876972440027493E-5,-0.00294671492659715,1.0189284220314907
2013-07-08,0.007138737264591109,0.3615869640630518,0.2592593341468847,300.45544192407704,300.5760970798957,-7.94943628720767E-5,-0.0029450120240771347,1.0246501309356142
2013-07-09,0.0018519176072995785,0.32813927229698586,0.26882256271291766,301.60990360105234,301.4331838062132,-7.835608865428596E-5,-0.003290873043847562,1.0303864951738655
2013-07-10,3.025401534609773E-4,0.29686919762406155,0.2664572946463234,302.3697031400237,301.7413146955023,-7.033718173006099E-5,-0.0030692363594111934,1.0361236117715156
2013-07-11,0.002775325204465294,0.2779428543772646,0.26034073518616885,303.10090942853043,301.77585882667887,-9.07032878262971E-5,-0.003305967172495849,1.0418607283691657
2013-07-12,0.0017628684280527392,0.29075916644910943,0.2568461609670427,301.93199740303567,301.1184946646982,-9.646599191041499E-5,-0.0028478614555439343,1.0476414661378084
2013-07-13,0.005410998083750421,0.30344417515202676,0.25443527425443696,302.3998300437751,300.61925240033213,-9.068150291411646E-5,-0.0031113471858811863,1.0533586687226144
2013-07-14,0.002109788792154073,0.31356040355053455,0.2557591231100732,301.06915731483934,300.55188472318724,-1.0659612244560463E-4,-0.002774434677900629,1.0590948370339386
2013-07-15,0.00147092896227101,0.30040984112113095,0.25649616494200816,300.24024302027567,300.32981047804196,-7.291960290336095E-5,-0.0020021419622038472,1.064831953631589
2013-07-16,0.0015111455840212172,0.29394048584015725,0.25559991386895553,301.2459230506243,300.98361186266067,-6.027293545071994E-5,-0.002382991634573334,1.0756037104233878
2013-07-17,0.00673960287032245,0.30164791610709935,0.25334544149985605,301.9296387043989,301.04768528519503,-6.397714542773177E-5,-0.0029020100969746596,1.086511808845038
2013-07-18,0.002152393636607977,0.32670585914458994,0.2569246012918387,301.9843385546527,301.4662452535134,-6.5593106330635E-5,-0.003262761093457969,1.09757692310586
2013-07-19,0.0028231733417769453,0.3108573035821587,0.25789551129999927,301.0266849055435,301.0822185581013,-5.301347688322626E-5,-0.0031702024259465324,1.1085273495807852
2013-07-20,0.012957212071756735,0.34652090342031355,0.26258551015202425,298.86679574998766,298.9412251459248,-6.64684620150616E-5,-0.0022524235775846367,1.1194942966141823
2013-07-21,0.018753443504518647,0.4029854390948139,0.3242179398421575,298.47417804970763,298.80804341575333,-7.789486729308895E-5,-0.002570948651051852,1.1304748096279933
2013-07-22,0.014271371881656912,0.41191740187854115,0.37497279064803474,298.73725695382285,298.9350157954721,-3.865145531429899E-5,-0.002173804413980714,1.1414650641286075
2013-07-23,0.0053953296965553515,0.40173833089788324,0.3773168770545681,300.65741714747924,299.7685623756726,-5.9103284702738184E-5,-0.0024777056939199633,1.152433907734656
2013-07-24,0.0020362466390033717,0.38126633286047545,0.3692695517753049,302.3062586654562,301.28440835185705,-7.436932487921281E-5,-0.003275437777049736,1.1634580419194593
2013-07-25,0.020030103047561372,0.39823018188163084,0.3757811733925716,301.0345744322555,300.05795009771737,-6.851438541992787E-5,-0.0029108940447194185,1.1744501929927254
2013-07-26,0.009153433242719045,0.4129310543254271,0.4054185791877704,299.0994747800587,298.6645739456905,-6.469525253322716E-5,-0.0021766501067002494,1.185419036598774
2013-07-27,0.007867185815089658,0.40242346874799373,0.38641341453830463,299.26649697180824,298.83214545972425,-6.517403556725644E-5,-0.0021218042217987163,1.1963995496125852
2013-07-28,0.00857741069995751,0.4145497692874229,0.3968255043519603,298.8840109869708,298.42677701823703,-3.441371517298953E-5,-0.0021602019110840897,1.2073898041131992
2013-07-29,0.001672736402651243,0.39486440316676846,0.3871072858311791,299.9957446875668,299.35598486169033,-3.1434755789572356E-5,-0.0027235070091366585,1.2183415237058415
2013-07-30,0.004165452939050216,0.3872291200517322,0.3734255547271243,300.5877921609433,299.93057648414333,-7.333015113242418E-5,-0.003303039467424292,1.2293649133683229
2013-07-31,0.006836181176461864,0.39279365931404636,0.37321488038049827,299.4594087683977,299.1487226167825,-8.892739487263749E-5,-0.0024015560849513775,1.2402745086716944
2013-08-01,0.005273068242467843,0.39546329006514436,0.37699308919490276,299.7475421241325,299.3856858751623,-4.894363884749508E-5,-0.002268007682357988,1.2512615734819394
2013-08-02,0.0011391095983306946,0.3734565826948937,0.36969889330753747,301.1134378220647,300.45572757867893,-2.6824645904712215E-5,-0.0036950799262004744,1.2622648453675727
2013-08-03,0.005660106202670717,0.384156047348861,0.36256892630915555,299.7374769131465,299.0516972583444,-3.3207797375041275E-5,-0.002681833968852261,1.2732560481545125
2013-08-04,0.0019495039719095214,0.3743024305863814,0.36078020065456523,299.3329751485424,299.20213943269846,-5.6890658862050766E-5,-0.0027164696272353544,1.284203081175065
2013-08-05,0.011388539481323736,0.38861036668022164,0.3704831868364191,299.3571672846124,299.2052569543636,-5.057480656907812E-5,-0.0026028576724587125,1.2952044564880467
2013-08-06,0.0026386744056873107,0.3843058785476253,0.3738933968801161,298.9809815613013,298.8376112371209,-5.629088138395171E-5,-0.0025468938201895484,1.3061956592749864
2013-08-07,0.0013193562262369895,0.3733676005217989,0.3662573026276027,299.21094161446547,299.2557064168075,-7.071595449568861E-5,-0.0023944795372765316,1.3171863134665311
2013-08-08,0.0011584897187761213,0.35594825568294675,0.35565087387484656,299.56661603679765,299.46877190071194,-6.208609422246921E-5,-0.003081226002465136,1.3281895853521646
2013-08-09,0.009562071602223284,0.38383484670426454,0.3530519404163958,297.33196929398724,297.4903134295558,-3.862892419604932E-5,-0.0021302152958875076,1.3391807881391042
2013-08-10,0.006271352509866864,0.4015135106271392,0.37033600359007096,297.6057846116359,297.6339582914442,-4.522510458398123E-5,-0.002092307746318529,1.3501106971462506
2013-08-11,0.010876313885114225,0.41315308557636754,0.38714018588073446,297.0877928574635,297.4372047488972,-2.874835510558817E-5,-0.0016525898958184685,1.3610768996573255
2013-08-12,0.018106051553884978,0.4235061073401187,0.41166889306270715,298.09480434451035,297.79246738474984,-3.264214016944859E-5,-0.0018462399307793388,1.372101033842129
